CheckInDate,CheckOutDate,RateAmount,BookingStatus,RoomType,Channel,GuestName,GuestCountry,RepeatGuest
2024-09-30,2024-10-01,7.67,Cancelled,Single,Direct,,,true
2025-07-30,2025-08-02,105.00,Confirmed,Single,Agoda,,,true
2025-07-01,2025-07-04,49.69,Cancelled,Single,Booking.com,,,true
2025-05-16,2025-05-21,349.03,Confirmed,Single,Booking.com,,,true
2024-07-26,2024-07-30,2143.72,Confirmed,Suite,Direct,,,false
2024-03-21,2024-03-22,46.04,Confirmed,Single,Agoda,,,true
2025-06-16,2025-06-18,177.16,Confirmed,Double,Agoda,,,true
2023-11-28,2023-11-29,204.39,Confirmed,Suite,Booking.com,,,true
2024-12-14,2024-12-22,1168.70,Confirmed,Deluxe,Booking.com,,,true
2025-05-14,2025-05-16,43.00,Cancelled,Double,Direct,,,true
2026-01-06,2026-01-08,181.84,Confirmed,Deluxe,Direct,,,true
2024-08-04,2024-08-09,658.20,Confirmed,Double,Agoda,,,true
2024-10-15,2024-10-22,495.87,Confirmed,Double,Direct,,,true
2024-07-19,2024-07-23,128.40,Cancelled,Double,Expedia,,,true
2025-01-19,2025-01-21,133.08,Confirmed,Single,Direct,,,true
2023-05-04,2023-05-07,228.85,Confirmed,Single,Direct,,,true
2024-12-08,2024-12-10,329.65,Confirmed,Deluxe,Expedia,,,true
2024-12-17,2024-12-18,162.36,Confirmed,Deluxe,Direct,,,true
2024-10-26,2024-10-27,95.54,Confirmed,Double,Expedia,,,true
2024-07-22,2024-07-25,542.65,Confirmed,Family,Direct,,,true
2025-06-13,2025-06-18,432.00,Confirmed,Double,Direct,,,true
2025-01-12,2025-01-20,377.16,Confirmed,Double,Agoda,,,true
2023-06-15,2023-06-19,222.72,Confirmed,Single,Direct,,,true
2023-10-13,2023-10-14,140.38,Confirmed,Deluxe,Expedia,,,true
2025-09-27,2025-10-01,321.21,Confirmed,Single,Booking.com,,,true
2025-04-16,2025-04-19,130.60,Confirmed,Single,Booking.com,,,true
2025-07-21,2025-07-22,172.56,Confirmed,Family,Direct,,,true
2025-02-24,2025-03-04,365.31,Confirmed,Double,Direct,,,false
2023-07-11,2023-07-15,7.67,Cancelled,Double,Booking.com,,,true
2023-06-25,2023-06-29,245.82,Confirmed,Double,Direct,,,false
2025-05-21,2025-05-22,247.94,Confirmed,Suite,Direct,,,true
2025-11-15,2025-11-16,86.49,Confirmed,Double,Booking.com,,,true
2024-09-20,2024-09-23,164.59,Confirmed,Single,Agoda,,,true
2025-08-05,2025-08-06,282.17,Confirmed,Suite,Booking.com,,,false
2024-04-19,2024-04-24,1127.66,Confirmed,Family,Booking.com,,,true
2025-01-26,2025-01-29,136.40,Confirmed,Single,Booking.com,,,true
2023-11-26,2023-11-28,131.73,Confirmed,Double,Direct,,,true
2024-11-14,2024-11-17,7.67,Cancelled,Single,Expedia,,,false
2025-04-07,2025-04-09,147.65,Confirmed,Double,Direct,,,true
2023-09-30,2023-10-03,467.82,Confirmed,Family,Direct,,,true
2025-05-16,2025-05-18,225.91,Confirmed,Double,Booking.com,,,true
2025-04-30,2025-05-02,283.06,Confirmed,Deluxe,Expedia,,,true
2023-05-27,2023-05-29,384.05,Confirmed,Suite,Booking.com,,,false
2024-09-30,2024-10-03,378.06,Confirmed,Deluxe,Direct,,,false
2024-10-02,2024-10-06,7.67,Cancelled,Single,Booking.com,,,false
2025-09-13,2025-09-14,127.67,Confirmed,Family,Booking.com,,,true
2025-07-22,2025-07-27,7.67,Cancelled,Deluxe,Expedia,,,true
2024-08-18,2024-08-19,7.67,Cancelled,Family,Direct,,,true
2025-06-09,2025-06-11,134.56,Confirmed,Single,Direct,,,true
2024-05-28,2024-05-31,415.45,Confirmed,Deluxe,Direct,,,true
2025-01-12,2025-01-14,84.98,Confirmed,Single,Agoda,,,true
2023-08-10,2023-08-12,106.65,Confirmed,Single,Direct,,,false
2025-12-14,2025-12-16,113.76,Confirmed,Single,Direct,,,false
2025-11-03,2025-11-04,68.79,Confirmed,Double,Direct,,,true
2023-09-12,2023-09-14,253.62,Confirmed,Deluxe,Booking.com,,,true
2024-08-14,2024-08-16,337.06,Confirmed,Deluxe,Booking.com,,,true
2023-02-12,2023-02-16,213.28,Confirmed,Single,Agoda,,,true
2024-06-04,2024-06-06,284.49,Confirmed,Deluxe,Direct,,,true
2025-02-13,2025-02-21,469.20,Confirmed,Double,Direct,,,true
2025-12-27,2025-12-28,57.10,Confirmed,Double,Direct,,,true
2026-02-09,2026-02-14,256.60,Confirmed,Single,Expedia,,,true
2024-12-27,2025-01-01,426.69,Confirmed,Single,Agoda,,,true
2024-07-05,2024-07-06,76.77,Confirmed,Single,Direct,,,false
2024-09-20,2024-09-23,661.74,Confirmed,Family,Booking.com,,,true
2025-04-17,2025-04-23,425.44,Confirmed,Double,Booking.com,,,true
2023-08-29,2023-08-30,80.23,Confirmed,Single,Expedia,,,true
2024-02-26,2024-02-28,93.76,Confirmed,Single,Booking.com,,,true
2024-08-21,2024-08-24,303.27,Confirmed,Double,Direct,,,true
2023-10-08,2023-10-09,135.54,Confirmed,Deluxe,Direct,,,true
2025-04-27,2025-04-29,286.09,Confirmed,Deluxe,Agoda,,,true
2025-08-27,2025-09-01,205.31,Cancelled,Double,Direct,,,true
2024-11-23,2024-11-27,917.08,Confirmed,Family,Booking.com,,,false
2024-01-07,2024-01-09,115.44,Confirmed,Single,Booking.com,,,true
2025-01-05,2025-01-07,104.08,Confirmed,Single,Booking.com,,,true
2023-05-30,2023-05-31,44.41,Confirmed,Single,Booking.com,,,true
2025-06-09,2025-06-10,7.67,Cancelled,Deluxe,Booking.com,,,false
2023-11-20,2023-11-25,720.50,Confirmed,Deluxe,Agoda,,,true
2024-03-15,2024-03-20,425.55,Confirmed,Double,Expedia,,,true
2025-03-21,2025-03-22,76.77,Confirmed,Deluxe,Direct,,,true
2024-05-01,2024-05-03,276.24,Confirmed,Deluxe,Expedia,,,true
2024-08-07,2024-08-14,883.32,Confirmed,Double,Agoda,,,true
2023-09-17,2023-09-19,232.48,Confirmed,Deluxe,Agoda,,,true
2023-05-03,2023-05-15,1042.64,Confirmed,Double,Booking.com,,,true
2025-11-14,2025-11-15,73.11,Confirmed,Deluxe,Direct,,,true
2023-05-20,2023-05-27,771.81,Confirmed,Deluxe,Direct,,,true
2025-03-15,2025-03-16,197.08,Confirmed,Family,Booking.com,,,false
2024-07-12,2024-07-14,153.04,Confirmed,Single,Agoda,,,true
2024-08-05,2024-08-07,357.03,Confirmed,Deluxe,Direct,,,true
2024-05-27,2024-05-28,134.19,Confirmed,Double,Direct,,,true
2023-09-23,2023-09-29,7.67,Cancelled,Deluxe,Booking.com,,,true
2025-06-17,2025-06-20,231.69,Confirmed,Single,Expedia,,,true
2025-02-21,2025-02-27,491.94,Confirmed,Deluxe,Direct,,,true
2024-07-23,2024-07-25,357.92,Confirmed,Deluxe,Direct,,,true
2024-07-10,2024-07-11,106.82,Confirmed,Double,Direct,,,true
2024-03-09,2024-03-10,131.49,Confirmed,Deluxe,Direct,,,true
2023-04-05,2023-04-13,399.00,Confirmed,Single,Direct,,,true
2024-03-25,2024-03-28,154.22,Confirmed,Single,Booking.com,,,true
2024-05-07,2024-05-11,812.14,Confirmed,Family,Direct,,,true
2025-04-07,2025-04-15,618.05,Confirmed,Double,Booking.com,,,true
2023-05-21,2023-05-23,192.96,Confirmed,Double,Expedia,,,true
2024-06-17,2024-06-24,322.49,Confirmed,Single,Agoda,,,true
2023-01-26,2023-01-29,173.35,Confirmed,Double,Direct,,,false
2025-11-05,2025-11-06,51.21,Confirmed,Double,Direct,,,true
2025-07-16,2025-07-22,936.78,Confirmed,Deluxe,Direct,,,true
2023-05-24,2023-05-25,54.43,Confirmed,Single,Agoda,,,true
2025-03-28,2025-03-31,610.87,Confirmed,Family,Expedia,,,true
2025-07-07,2025-07-09,420.86,Confirmed,Family,Booking.com,,,true
2025-07-14,2025-07-25,707.16,Confirmed,Single,Direct,,,true
2025-08-08,2025-08-09,161.94,Confirmed,Deluxe,Booking.com,,,true
2025-05-23,2025-05-26,800.79,Confirmed,Family,Direct,,,true
2023-05-03,2023-05-06,233.63,Confirmed,Double,Direct,,,true
2025-08-17,2025-08-19,193.48,Confirmed,Double,Expedia,,,true
2024-01-28,2024-01-31,127.06,Confirmed,Single,Booking.com,,,true
2023-02-18,2023-02-20,293.04,Confirmed,Deluxe,Expedia,,,false
2025-12-31,2026-01-09,521.15,Confirmed,Single,Booking.com,,,true
2025-12-26,2026-01-03,1529.04,Confirmed,Deluxe,Expedia,,,true
2023-11-30,2023-12-04,237.88,Confirmed,Double,Expedia,,,true
2023-07-29,2023-08-02,626.08,Confirmed,Deluxe,Direct,,,false
2025-01-22,2025-01-26,45.77,Confirmed,Single,Agoda,,,true
2025-11-07,2025-11-11,534.85,Confirmed,Deluxe,Direct,,,false
2025-06-13,2025-06-15,100.89,Confirmed,Double,Expedia,,,true
2024-09-22,2024-09-24,118.42,Cancelled,Deluxe,Expedia,,,true
2023-12-01,2023-12-04,7.67,Cancelled,Family,Booking.com,,,true
2025-11-09,2025-11-11,149.76,Confirmed,Double,Direct,,,true
2023-10-29,2023-11-01,205.43,Confirmed,Double,Booking.com,,,true
2023-12-07,2023-12-09,308.52,Confirmed,Family,Booking.com,,,true
2025-07-17,2025-07-18,176.58,Confirmed,Deluxe,Direct,,,true
2025-10-29,2025-11-01,289.42,Confirmed,Double,Agoda,,,true
2023-09-21,2023-10-03,1095.31,Confirmed,Double,Booking.com,,,true
2025-02-15,2025-02-18,114.90,Confirmed,Single,Booking.com,,,true
2025-12-03,2025-12-05,162.44,Confirmed,Single,Agoda,,,true
2024-01-28,2024-01-30,110.12,Confirmed,Double,Booking.com,,,true
2023-11-23,2023-11-29,321.12,Confirmed,Single,Booking.com,,,true
2024-09-14,2024-09-18,204.40,Confirmed,Single,Booking.com,,,true
2023-11-19,2023-11-20,79.10,Confirmed,Double,Direct,,,false
2025-04-11,2025-04-13,200.41,Confirmed,Double,Direct,,,true
2025-04-11,2025-04-14,142.02,Confirmed,Single,Booking.com,,,true
2025-05-28,2025-06-03,66.28,Cancelled,Single,Expedia,,,false
2024-03-26,2024-03-29,324.79,Confirmed,Deluxe,Booking.com,,,false
2025-10-28,2025-10-29,106.89,Confirmed,Double,Direct,,,true
2024-03-14,2024-03-18,217.76,Confirmed,Double,Booking.com,,,true
2023-02-08,2023-02-10,252.59,Confirmed,Deluxe,Direct,,,true
2023-10-27,2023-11-03,1565.86,Confirmed,Suite,Agoda,,,true
2023-04-09,2023-04-10,101.39,Confirmed,Double,Booking.com,,,true
2025-03-24,2025-03-28,211.25,Confirmed,Single,Direct,,,true
2024-12-05,2024-12-07,120.84,Confirmed,Single,Direct,,,true
2024-07-11,2024-07-13,146.95,Confirmed,Single,Agoda,,,true
2024-04-23,2024-04-27,685.56,Confirmed,Deluxe,Booking.com,,,true
2025-11-01,2025-11-04,218.41,Confirmed,Double,Booking.com,,,true
2025-08-13,2025-08-14,79.18,Confirmed,Double,Booking.com,,,true
2025-07-15,2025-07-17,195.80,Confirmed,Double,Booking.com,,,true
2025-12-28,2026-01-02,785.22,Confirmed,Family,Booking.com,,,false
2025-03-01,2025-03-06,470.07,Confirmed,Deluxe,Expedia,,,true
2023-08-30,2023-09-03,419.96,Confirmed,Double,Booking.com,,,true
2023-06-23,2023-06-26,425.82,Confirmed,Deluxe,Agoda,,,false
2024-05-31,2024-06-05,7.67,Cancelled,Double,Agoda,,,true
2025-03-25,2025-03-28,692.97,Confirmed,Suite,Expedia,,,true
2025-08-13,2025-08-17,605.41,Confirmed,Deluxe,Expedia,,,true
2026-01-02,2026-01-03,119.12,Confirmed,Deluxe,Booking.com,,,true
2025-09-21,2025-09-26,245.79,Confirmed,Single,Expedia,,,true
2025-09-17,2025-09-19,242.34,Confirmed,Deluxe,Direct,,,true
2025-06-07,2025-06-09,365.64,Confirmed,Deluxe,Direct,,,true
2024-02-20,2024-02-25,198.74,Confirmed,Single,Direct,,,true
2024-06-01,2024-06-05,1136.88,Confirmed,Suite,Agoda,,,true
2024-07-20,2024-07-30,1768.32,Confirmed,Family,Booking.com,,,false
2024-11-23,2024-12-01,329.87,Confirmed,Single,Direct,,,true
2025-03-01,2025-03-05,474.92,Confirmed,Family,Booking.com,,,true
2025-02-17,2025-02-18,112.66,Confirmed,Family,Agoda,,,true
2023-07-07,2023-07-08,155.48,Confirmed,Deluxe,Agoda,,,true
2024-11-22,2024-11-23,136.19,Confirmed,Deluxe,Direct,,,true
2025-04-13,2025-04-16,140.10,Confirmed,Single,Direct,,,true
2025-09-08,2025-09-12,1039.34,Confirmed,Suite,Expedia,,,true
2026-01-31,2026-02-03,49.36,Confirmed,Single,Agoda,,,true
2023-08-13,2023-08-20,1772.00,Confirmed,Suite,Booking.com,,,true
2025-08-05,2025-08-06,67.53,Confirmed,Double,Booking.com,,,true
2025-10-22,2025-11-01,798.93,Confirmed,Deluxe,Direct,,,true
2024-08-29,2024-08-31,228.93,Confirmed,Double,Agoda,,,true
2025-09-12,2025-09-20,7.67,Cancelled,Single,Direct,,,true
2023-06-27,2023-06-28,175.24,Confirmed,Family,Booking.com,,,true
2025-09-21,2025-09-24,257.40,Confirmed,Double,Expedia,,,true
2024-09-09,2024-09-12,144.61,Confirmed,Single,Direct,,,true
2023-10-02,2023-10-03,54.16,Confirmed,Double,Agoda,,,true
2023-10-05,2023-10-09,363.12,Confirmed,Deluxe,Booking.com,,,true
2024-02-20,2024-02-21,49.50,Confirmed,Single,Booking.com,,,true
2025-12-18,2025-12-21,56.03,Confirmed,Single,Booking.com,,,true
2024-02-21,2024-02-22,38.41,Confirmed,Single,Booking.com,,,true
2025-06-01,2025-06-04,399.28,Confirmed,Family,Booking.com,,,true
2025-08-29,2025-09-07,533.74,Confirmed,Single,Booking.com,,,true
2024-10-07,2024-10-12,397.65,Confirmed,Double,Booking.com,,,true
2023-09-05,2023-09-06,128.75,Confirmed,Deluxe,Agoda,,,true
2023-11-25,2023-11-27,99.84,Confirmed,Single,Booking.com,,,true
2025-12-30,2025-12-31,173.62,Confirmed,Deluxe,Agoda,,,true
2025-05-28,2025-06-01,191.03,Confirmed,Single,Direct,,,true
2024-03-21,2024-03-25,180.57,Confirmed,Single,Direct,,,true
2025-05-08,2025-05-09,86.89,Confirmed,Double,Agoda,,,true
2023-08-22,2023-08-26,699.80,Confirmed,Deluxe,Expedia,,,true
2025-10-07,2025-10-11,590.67,Confirmed,Suite,Booking.com,,,true
2024-04-08,2024-04-13,468.40,Confirmed,Double,Agoda,,,false
2025-06-05,2025-06-08,591.18,Confirmed,Family,Booking.com,,,true
2023-02-17,2023-02-18,17.64,Cancelled,Double,Direct,,,true
2025-03-06,2025-03-07,7.67,Cancelled,Single,Direct,,,true
2024-04-25,2024-05-03,422.08,Confirmed,Single,Direct,,,true
2024-05-20,2024-05-26,679.98,Confirmed,Deluxe,Booking.com,,,true
2023-06-13,2023-06-15,7.67,Cancelled,Single,Direct,,,true
2025-10-23,2025-10-29,60.36,Confirmed,Double,Expedia,,,true
2023-05-18,2023-05-19,64.23,Confirmed,Single,Booking.com,,,true
2024-10-09,2024-10-11,295.00,Confirmed,Deluxe,Direct,,,true
2025-08-30,2025-08-31,114.85,Confirmed,Double,Direct,,,true
2024-08-28,2024-09-05,1462.92,Confirmed,Family,Direct,,,true
2025-01-16,2025-01-19,232.17,Confirmed,Double,Booking.com,,,true
2024-05-12,2024-05-15,297.66,Confirmed,Double,Agoda,,,true
2023-08-07,2023-08-11,342.75,Confirmed,Single,Booking.com,,,true
2024-03-18,2024-03-19,61.20,Confirmed,Single,Expedia,,,true
2025-03-07,2025-03-11,219.46,Confirmed,Single,Booking.com,,,true
2024-06-30,2024-07-02,314.06,Confirmed,Family,Booking.com,,,false
2024-08-07,2024-08-08,87.33,Confirmed,Double,Direct,,,true
2024-06-01,2024-06-02,51.54,Confirmed,Single,Expedia,,,true
2023-01-08,2023-01-14,236.30,Confirmed,Double,Direct,,,true
2023-06-02,2023-06-04,131.62,Confirmed,Single,Expedia,,,true
2023-01-22,2023-01-26,345.04,Confirmed,Double,Booking.com,,,true
2024-11-28,2024-12-01,165.87,Confirmed,Single,Booking.com,,,true
2023-09-16,2023-09-17,69.66,Confirmed,Double,Booking.com,,,true
2023-03-06,2023-03-09,221.56,Confirmed,Deluxe,Direct,,,true
2023-04-18,2023-04-24,284.55,Cancelled,Deluxe,Agoda,,,true
2023-10-29,2023-11-01,291.24,Confirmed,Double,Direct,,,true
2024-10-10,2024-10-15,187.94,Confirmed,Single,Direct,,,true
2024-05-21,2024-05-29,59.18,Confirmed,Single,Agoda,,,true
2024-05-02,2024-05-04,95.47,Confirmed,Single,Expedia,,,false
2023-02-23,2023-02-26,151.47,Confirmed,Single,Booking.com,,,true
2024-07-22,2024-08-01,806.62,Confirmed,Double,Direct,,,true
2024-06-17,2024-06-19,460.80,Confirmed,Suite,Booking.com,,,true
2024-12-05,2024-12-08,473.78,Confirmed,Deluxe,Direct,,,true
2025-07-26,2025-07-29,429.50,Confirmed,Deluxe,Booking.com,,,false
2025-01-13,2025-01-17,594.00,Confirmed,Family,Agoda,,,false
2025-11-11,2025-11-13,208.91,Confirmed,Deluxe,Direct,,,true
2025-08-20,2025-08-23,287.49,Confirmed,Deluxe,Booking.com,,,true
2025-03-12,2025-03-13,51.87,Confirmed,Single,Direct,,,true
2025-04-01,2025-04-02,136.09,Confirmed,Deluxe,Booking.com,,,true
2024-03-18,2024-03-21,201.69,Confirmed,Double,Booking.com,,,true
2024-01-23,2024-01-27,789.96,Confirmed,Family,Expedia,,,true
2024-06-30,2024-07-03,194.40,Confirmed,Single,Agoda,,,true
2023-05-25,2023-05-29,351.84,Confirmed,Double,Direct,,,true
2025-08-26,2025-08-27,135.76,Confirmed,Deluxe,Direct,,,true
2023-10-02,2023-10-04,144.88,Confirmed,Double,Expedia,,,true
2024-03-22,2024-03-23,146.41,Confirmed,Deluxe,Agoda,,,true
2024-08-23,2024-08-30,276.03,Confirmed,Suite,Agoda,,,true
2024-05-12,2024-05-14,233.66,Confirmed,Deluxe,Booking.com,,,true
2025-03-24,2025-03-25,109.06,Confirmed,Deluxe,Booking.com,,,true
2024-06-18,2024-06-19,82.52,Confirmed,Double,Agoda,,,true
2023-09-03,2023-09-05,7.67,Cancelled,Deluxe,Expedia,,,true
2024-04-27,2024-05-02,572.28,Confirmed,Deluxe,Expedia,,,true
2025-07-25,2025-07-29,494.72,Confirmed,Deluxe,Booking.com,,,true
2024-01-18,2024-01-23,801.86,Confirmed,Family,Booking.com,,,false
2024-04-18,2024-04-21,229.45,Confirmed,Double,Direct,,,true
2024-08-06,2024-08-08,216.43,Confirmed,Double,Direct,,,true
2025-08-29,2025-09-01,604.66,Confirmed,Suite,Direct,,,true
2025-02-01,2025-02-03,101.90,Confirmed,Single,Booking.com,,,false
2025-01-13,2025-01-14,47.85,Confirmed,Single,Booking.com,,,false
2023-07-14,2023-07-19,479.25,Confirmed,Double,Agoda,,,true
2025-08-14,2025-08-19,1043.14,Confirmed,Family,Direct,,,true
2023-03-14,2023-03-15,72.78,Confirmed,Single,Booking.com,,,true
2024-09-07,2024-09-11,7.67,Cancelled,Family,Direct,,,true
2023-12-19,2023-12-30,85.46,Confirmed,Double,Expedia,,,false
2025-09-13,2025-09-17,185.54,Confirmed,Single,Expedia,,,true
2024-08-20,2024-08-25,435.75,Confirmed,Double,Booking.com,,,true
2025-07-01,2025-07-05,450.28,Confirmed,Double,Direct,,,true
2024-05-06,2024-05-10,306.36,Confirmed,Double,Booking.com,,,true
2024-07-19,2024-07-29,1582.32,Confirmed,Deluxe,Direct,,,true
2025-04-13,2025-04-16,195.02,Confirmed,Double,Booking.com,,,false
2025-01-07,2025-01-10,171.61,Confirmed,Single,Direct,,,false
2024-07-17,2024-07-20,599.82,Confirmed,Family,Booking.com,,,true
2025-04-24,2025-04-25,7.67,Cancelled,Single,Direct,,,true
2025-05-20,2025-05-28,530.14,Confirmed,Single,Agoda,,,true
2024-06-13,2024-06-16,410.43,Confirmed,Deluxe,Booking.com,,,false
2023-02-25,2023-03-01,575.04,Confirmed,Family,Booking.com,,,true
2024-01-07,2024-01-14,1145.28,Confirmed,Suite,Expedia,,,true
2023-12-23,2023-12-24,94.13,Confirmed,Double,Agoda,,,true
2024-05-27,2024-05-30,224.13,Confirmed,Double,Direct,,,true
2023-05-04,2023-05-05,58.71,Confirmed,Single,Expedia,,,true
2024-05-04,2024-05-06,124.69,Confirmed,Single,Expedia,,,true
2025-04-04,2025-04-06,319.71,Confirmed,Family,Booking.com,,,true
2023-10-04,2023-10-11,472.50,Confirmed,Deluxe,Booking.com,,,true
2025-09-19,2025-09-23,7.67,Cancelled,Deluxe,Booking.com,,,true
2025-08-04,2025-08-06,576.56,Confirmed,Family,Direct,,,true
2025-10-10,2025-10-12,189.16,Confirmed,Double,Agoda,,,true
2025-09-04,2025-09-05,72.04,Confirmed,Double,Direct,,,true
2025-08-22,2025-08-24,144.36,Confirmed,Single,Booking.com,,,false
2024-07-23,2024-07-25,209.28,Confirmed,Double,Booking.com,,,true
2025-11-07,2025-11-08,107.38,Confirmed,Deluxe,Agoda,,,true
2024-07-31,2024-08-01,7.67,Cancelled,Double,Agoda,,,true
2024-01-06,2024-01-10,246.44,Confirmed,Double,Direct,,,true
2025-08-07,2025-08-09,152.36,Confirmed,Single,Direct,,,true
2025-08-17,2025-08-22,417.78,Confirmed,Double,Direct,,,true
2024-08-09,2024-08-14,983.11,Confirmed,Deluxe,Booking.com,,,true
2023-02-08,2023-02-09,125.87,Confirmed,Family,Direct,,,true
2023-05-10,2023-05-13,7.67,Cancelled,Single,Direct,,,true
2026-01-21,2026-01-23,94.63,Confirmed,Single,Expedia,,,false
2023-08-01,2023-08-03,628.36,Confirmed,Suite,Direct,,,true
2024-10-31,2024-11-03,50.65,Cancelled,Double,Booking.com,,,false
2025-08-12,2025-08-20,942.91,Confirmed,Deluxe,Booking.com,,,true
2026-01-10,2026-01-12,53.26,Cancelled,Deluxe,Direct,,,true
2024-10-09,2024-10-14,870.40,Confirmed,Deluxe,Agoda,,,true
2023-08-08,2023-08-11,160.62,Confirmed,Deluxe,Booking.com,,,true
2024-11-22,2024-11-25,7.67,Cancelled,Single,Expedia,,,false
2025-11-07,2025-11-10,101.43,Confirmed,Single,Agoda,,,true
2024-05-28,2024-06-03,357.80,Confirmed,Double,Agoda,,,true
2025-03-03,2025-03-07,255.00,Confirmed,Deluxe,Expedia,,,true
2025-10-16,2025-10-20,827.28,Confirmed,Family,Booking.com,,,true
2025-04-17,2025-04-18,92.91,Confirmed,Deluxe,Booking.com,,,true
2025-11-04,2025-11-07,540.93,Confirmed,Suite,Agoda,,,true
2025-07-26,2025-07-29,244.44,Confirmed,Single,Direct,,,true
2025-05-10,2025-05-15,767.65,Confirmed,Deluxe,Booking.com,,,true
2024-07-18,2024-07-24,490.48,Confirmed,Double,Direct,,,true
2023-11-28,2023-12-03,522.22,Confirmed,Deluxe,Booking.com,,,true
2025-11-10,2025-11-11,52.22,Confirmed,Single,Booking.com,,,true
2023-04-20,2023-04-23,159.93,Confirmed,Single,Agoda,,,true
2024-11-12,2024-11-15,169.80,Confirmed,Single,Direct,,,true
2024-04-20,2024-04-27,1152.40,Confirmed,Family,Booking.com,,,true
2023-06-18,2023-06-20,101.52,Confirmed,Double,Direct,,,true
2025-10-19,2025-10-20,49.78,Confirmed,Single,Booking.com,,,true
2023-09-06,2023-09-08,265.29,Confirmed,Deluxe,Booking.com,,,true
2023-11-16,2023-11-19,188.51,Confirmed,Double,Direct,,,true
2025-12-26,2025-12-28,268.84,Confirmed,Deluxe,Booking.com,,,true
2025-07-12,2025-07-14,201.23,Confirmed,Double,Direct,,,true
2025-06-22,2025-06-24,102.64,Confirmed,Single,Booking.com,,,true
2025-01-21,2025-01-22,69.05,Confirmed,Double,Agoda,,,true
2025-04-08,2025-04-10,216.54,Confirmed,Deluxe,Booking.com,,,true
2025-11-03,2025-11-07,303.55,Confirmed,Double,Expedia,,,false
2023-07-08,2023-07-13,598.65,Confirmed,Double,Expedia,,,true
2024-01-21,2024-01-22,43.95,Confirmed,Single,Expedia,,,true
2024-04-21,2024-04-24,333.64,Confirmed,Deluxe,Expedia,,,true
2024-06-01,2024-06-03,187.92,Confirmed,Double,Booking.com,,,true
2025-11-02,2025-11-04,180.94,Confirmed,Deluxe,Booking.com,,,false
2025-10-15,2025-10-24,1366.90,Confirmed,Family,Expedia,,,true
2024-09-17,2024-09-19,72.58,Cancelled,Family,Booking.com,,,true
2023-12-27,2023-12-30,1108.34,Confirmed,Suite,Direct,,,true
2024-04-18,2024-04-22,288.52,Confirmed,Single,Agoda,,,true
2025-06-02,2025-06-07,805.55,Confirmed,Deluxe,Expedia,,,true
2025-06-22,2025-06-23,95.79,Confirmed,Deluxe,Expedia,,,true
2025-06-29,2025-07-02,230.45,Confirmed,Double,Direct,,,true
2026-01-05,2026-01-09,213.44,Confirmed,Double,Agoda,,,true
2024-01-19,2024-01-22,571.80,Confirmed,Family,Agoda,,,true
2025-11-09,2025-11-10,25.48,Cancelled,Deluxe,Agoda,,,true
2024-01-07,2024-01-13,285.00,Confirmed,Double,Expedia,,,true
2023-08-06,2023-08-10,676.25,Confirmed,Family,Agoda,,,true
2024-03-05,2024-03-07,7.67,Cancelled,Family,Expedia,,,true
2024-09-06,2024-09-08,146.10,Confirmed,Double,Agoda,,,true
2024-11-04,2024-11-08,432.58,Confirmed,Deluxe,Direct,,,true
2025-08-27,2025-08-30,452.73,Confirmed,Family,Booking.com,,,true
2023-09-15,2023-09-18,121.82,Confirmed,Single,Expedia,,,true
2024-05-31,2024-06-01,7.67,Cancelled,Deluxe,Expedia,,,true
2026-01-08,2026-01-12,148.39,Confirmed,Single,Direct,,,true
2024-07-19,2024-07-22,302.90,Confirmed,Double,Expedia,,,true
2025-06-28,2025-07-02,1049.83,Confirmed,Suite,Agoda,,,true
2025-08-04,2025-08-06,142.84,Confirmed,Single,Booking.com,,,true
2024-04-05,2024-04-12,2230.94,Confirmed,Suite,Direct,,,false
2024-09-08,2024-09-11,150.18,Confirmed,Single,Agoda,,,true
2025-06-16,2025-06-18,7.67,Cancelled,Double,Agoda,,,false
2025-02-27,2025-03-05,746.12,Confirmed,Deluxe,Booking.com,,,true
2023-12-09,2023-12-13,360.07,Confirmed,Double,Expedia,,,true
2023-02-03,2023-02-05,298.48,Confirmed,Family,Booking.com,,,true
2025-12-18,2025-12-26,769.66,Confirmed,Deluxe,Expedia,,,true
2023-08-01,2023-08-07,1181.20,Confirmed,Family,Booking.com,,,true
2023-11-08,2023-11-11,115.26,Confirmed,Single,Agoda,,,true
2023-12-16,2023-12-19,270.27,Confirmed,Double,Agoda,,,true
2025-12-27,2025-12-28,210.89,Confirmed,Family,Direct,,,true
2024-05-23,2024-06-01,569.09,Confirmed,Single,Direct,,,true
2023-08-30,2023-09-01,200.88,Confirmed,Double,Expedia,,,true
2025-05-21,2025-05-24,77.24,Cancelled,Double,Booking.com,,,false
2025-08-06,2025-08-11,362.04,Confirmed,Single,Booking.com,,,true
2025-07-25,2025-07-29,256.57,Confirmed,Single,Agoda,,,true
2025-04-20,2025-04-22,105.28,Confirmed,Single,Direct,,,false
2025-07-19,2025-07-20,220.81,Confirmed,Suite,Booking.com,,,true
2025-10-24,2025-11-02,594.07,Confirmed,Single,Agoda,,,true
2025-05-15,2025-05-21,85.89,Cancelled,Single,Direct,,,true
2024-08-11,2024-08-14,349.89,Confirmed,Double,Expedia,,,true
2024-09-13,2024-09-16,363.54,Confirmed,Double,Expedia,,,true
2025-02-11,2025-02-13,7.67,Cancelled,Single,Booking.com,,,true
